SampleID,Aligned,Dedup,Cov,fishid,year,WY,region,age,sub_grp_sr_100,sub_grp_sr_150,clust_name_100,clust_name_150,selection,Path
LFS1046,475087,121326,0.0310757,LFS_1046,2009,2009,CBY,156,3,2,LS,MS,0,data/alt-demultiplexed/LFS1046.sort.flt.bam
LFS1049,8924365,1093552,0.256066,LFS_1049,2009,2009,CBY,170,4,3,FW,LS,1,data/alt-demultiplexed/LFS1049.sort.flt.bam
LFS1076,2197613,290112,0.070594,LFS_1076,2009,2009,CAR,131,3,NA,LS,NA,0,data/alt-demultiplexed/LFS1076.sort.flt.bam
LFS1099,12756345,1313140,0.307263,LFS_1099,2015,2015,SBY,156,3,3,LS,LS,0,data/alt-demultiplexed/LFS1099.sort.flt.bam
LFS1100,39404154,3689434,0.855061,LFS_1100,2015,2015,SBY,145,3,NA,LS,NA,0,data/alt-demultiplexed/LFS1100.sort.flt.bam
LFS1102,35700755,3385658,0.784348,LFS_1102,2015,2015,SBY,195,3,3,LS,LS,0,data/alt-demultiplexed/LFS1102.sort.flt.bam
LFS1104,23652241,2395151,0.556826,LFS_1104,2015,2015,SBY,158,3,3,LS,LS,0,data/alt-demultiplexed/LFS1104.sort.flt.bam
LFS1108,19061131,1735139,0.39957,LFS_1108,2014,2014,SPB,221,3,3,LS,LS,0,data/alt-demultiplexed/LFS1108.sort.flt.bam
LFS1113,373087,52450,0.0130045,LFS_1113,2014,2014,SBY,238,3,3,LS,LS,0,data/alt-demultiplexed/LFS1113.sort.flt.bam
LFS1114,31267,7072,0.00181647,LFS_1114,2014,2014,SBY,223,4,3,FW,LS,1,data/alt-demultiplexed/LFS1114.sort.flt.bam
LFS1131,1252443,153794,0.0367993,LFS_1131,2014,2014,CBY,228,3,3,LS,LS,0,data/alt-demultiplexed/LFS1131.sort.flt.bam
LFS1302,1379725,183681,0.0446952,LFS_1302,2014,2014,ND,237,3,3,LS,LS,0,data/alt-demultiplexed/LFS1302.sort.flt.bam
LFS1340,6473873,670316,0.158179,LFS_1340,2016,2016,CBY,176,3,3,LS,LS,1,data/alt-demultiplexed/LFS1340.sort.flt.bam
LFS1341,73656908,6597145,1.5106,LFS_1341,2016,2016,CBY,186,2,2,MS,MS,1,data/alt-demultiplexed/LFS1341.sort.flt.bam
LFS1344,265475,60482,0.0152064,LFS_1344,2016,2016,SPB,115,2,NA,MS,NA,1,data/alt-demultiplexed/LFS1344.sort.flt.bam
LFS1345,3950716,367840,0.0854943,LFS_1345,2016,2016,SUS,212,1,2,HS,MS,1,data/alt-demultiplexed/LFS1345.sort.flt.bam
