SampleID,Aligned,Dedup,Cov,fishid,year,WY,region,age,sub_grp_sr_100,sub_grp_sr_150,clust_name_100,clust_name_150,selection,Path
LFS1046,460727,166186,0.0385366,LFS_1046,2009,2009,CBY,156,3,2,LS,MS,0,data/alt-polish/LFS1046.sort.flt.bam
LFS1049,8654629,1447155,0.317246,LFS_1049,2009,2009,CBY,170,4,3,FW,LS,1,data/alt-polish/LFS1049.sort.flt.bam
LFS1076,2125462,446342,0.10142,LFS_1076,2009,2009,CAR,131,3,NA,LS,NA,0,data/alt-polish/LFS1076.sort.flt.bam
LFS1099,12343747,1740455,0.386601,LFS_1099,2015,2015,SBY,156,3,3,LS,LS,0,data/alt-polish/LFS1099.sort.flt.bam
LFS1100,38072598,4430465,0.974785,LFS_1100,2015,2015,SBY,145,3,NA,LS,NA,0,data/alt-polish/LFS1100.sort.flt.bam
LFS1102,34479810,4071045,0.893289,LFS_1102,2015,2015,SBY,195,3,3,LS,LS,0,data/alt-polish/LFS1102.sort.flt.bam
LFS1104,22858976,3016235,0.661924,LFS_1104,2015,2015,SBY,158,3,3,LS,LS,0,data/alt-polish/LFS1104.sort.flt.bam
LFS1108,18404399,2230432,0.496781,LFS_1108,2014,2014,SPB,221,3,3,LS,LS,0,data/alt-polish/LFS1108.sort.flt.bam
LFS1113,363815,82950,0.018879,LFS_1113,2014,2014,SBY,238,3,3,LS,LS,0,data/alt-polish/LFS1113.sort.flt.bam
LFS1114,29977,8993,0.00212304,LFS_1114,2014,2014,SBY,223,4,3,FW,LS,1,data/alt-polish/LFS1114.sort.flt.bam
LFS1131,1213428,239129,0.0543497,LFS_1131,2014,2014,CBY,228,3,3,LS,LS,0,data/alt-polish/LFS1131.sort.flt.bam
LFS1302,1339828,289966,0.0648992,LFS_1302,2014,2014,ND,237,3,3,LS,LS,0,data/alt-polish/LFS1302.sort.flt.bam
LFS1340,6261055,975373,0.219734,LFS_1340,2016,2016,CBY,176,3,3,LS,LS,1,data/alt-polish/LFS1340.sort.flt.bam
LFS1341,71253607,7634749,1.65424,LFS_1341,2016,2016,CBY,186,2,2,MS,MS,1,data/alt-polish/LFS1341.sort.flt.bam
LFS1344,254814,81243,0.0187941,LFS_1344,2016,2016,SPB,115,2,NA,MS,NA,1,data/alt-polish/LFS1344.sort.flt.bam
LFS1345,3818240,563566,0.128002,LFS_1345,2016,2016,SUS,212,1,2,HS,MS,1,data/alt-polish/LFS1345.sort.flt.bam
LFS1348,9878587,1431786,0.319852,LFS_1348,2016,2016,CBY,166,3,3,LS,LS,1,data/alt-polish/LFS1348.sort.flt.bam
LFS1349,28006764,3316974,0.733595,LFS_1349,2016,2016,CBY,169,2,2,MS,MS,1,data/alt-polish/LFS1349.sort.flt.bam
LFS1350,13451625,1904179,0.4194,LFS_1350,2016,2016,SBY,156,3,3,LS,LS,1,data/alt-polish/LFS1350.sort.flt.bam
LFS1351,67480491,7545879,1.63682,LFS_1351,2016,2016,SBY,159,3,3,LS,LS,1,data/alt-polish/LFS1351.sort.flt.bam
LFS1352,15361966,2049171,0.452097,LFS_1352,2016,2016,SBY,184,2,2,MS,MS,1,data/alt-polish/LFS1352.sort.flt.bam
LFS1353,16899759,2280974,0.501783,LFS_1353,2016,2016,SBY,180,1,2,HS,MS,1,data/alt-polish/LFS1353.sort.flt.bam
LFS1354,5469188,858241,0.190882,LFS_1354,2016,2016,SBY,144,2,NA,MS,NA,1,data/alt-polish/LFS1354.sort.flt.bam
LFS1355,26426670,3382598,0.73893,LFS_1355,2016,2016,SBY,149,2,NA,MS,NA,1,data/alt-polish/LFS1355.sort.flt.bam
LFS1356,4285995,686619,0.152982,LFS_1356,2016,2016,SBY,168,3,3,LS,LS,1,data/alt-polish/LFS1356.sort.flt.bam
LFS1357,13816473,2051829,0.45234,LFS_1357,2016,2016,CBY,159,2,2,MS,MS,1,data/alt-polish/LFS1357.sort.flt.bam
LFS1358,904683,174254,0.039533,LFS_1358,2016,2016,CBY,167,1,2,HS,MS,1,data/alt-polish/LFS1358.sort.flt.bam
LFS1359,24764218,3302259,0.721966,LFS_1359,2016,2016,CBY,119,2,NA,MS,NA,1,data/alt-polish/LFS1359.sort.flt.bam
LFS1360,12760443,2021052,0.44616,LFS_1360,2016,2016,CBY,148,1,NA,HS,NA,1,data/alt-polish/LFS1360.sort.flt.bam
LFS1361,1961497,404480,0.0903394,LFS_1361,2016,2016,CAR,130,2,NA,MS,NA,1,data/alt-polish/LFS1361.sort.flt.bam
LFS1362,7894874,1273446,0.282444,LFS_1362,2016,2016,CAR,121,2,NA,MS,NA,1,data/alt-polish/LFS1362.sort.flt.bam
LFS1363,1003878,233616,0.053105,LFS_1363,2016,2016,CAR,127,3,NA,LS,NA,1,data/alt-polish/LFS1363.sort.flt.bam
LFS1364,460778,108533,0.0246633,LFS_1364,2016,2016,CAR,140,2,NA,MS,NA,1,data/alt-polish/LFS1364.sort.flt.bam
