SampleID,Aligned,Dedup,Cov,fishid,year,WY,region,age,sub_grp_sr_100,sub_grp_sr_150,clust_name_100,clust_name_150,selection,Path,Frac,NewPath
LFS1049,8654629,1447155,0.317246,LFS_1049,2009,2009,CBY,170,4,3,FW,LS,1,data/alt-polish/LFS1049.sort.flt.bam,1.3820219672391694,data/alt-polish/LFS1049.sort.flt.bam
LFS1099,12343747,1740455,0.386601,LFS_1099,2015,2015,SBY,156,3,3,LS,LS,0,data/alt-polish/LFS1099.sort.flt.bam,1.1491247978258559,data/alt-polish/LFS1099.sort.flt.bam
LFS1100,38072598,4430465,0.974785,LFS_1100,2015,2015,SBY,145,3,NA,LS,NA,0,data/alt-polish/LFS1100.sort.flt.bam,0.4514198848202164,data/downsample/LFS1100.reduced.bam
LFS1102,34479810,4071045,0.893289,LFS_1102,2015,2015,SBY,195,3,3,LS,LS,0,data/alt-polish/LFS1102.sort.flt.bam,0.49127435339083697,data/downsample/LFS1102.reduced.bam
LFS1104,22858976,3016235,0.661924,LFS_1104,2015,2015,SBY,158,3,3,LS,LS,0,data/alt-polish/LFS1104.sort.flt.bam,0.6630783078904661,data/downsample/LFS1104.reduced.bam
LFS1108,18404399,2230432,0.496781,LFS_1108,2014,2014,SPB,221,3,3,LS,LS,0,data/alt-polish/LFS1108.sort.flt.bam,0.8966872785182423,data/downsample/LFS1108.reduced.bam
LFS1341,71253607,7634749,1.65424,LFS_1341,2016,2016,CBY,186,2,2,MS,MS,1,data/alt-polish/LFS1341.sort.flt.bam,0.2619601508838077,data/downsample/LFS1341.reduced.bam
LFS1348,9878587,1431786,0.319852,LFS_1348,2016,2016,CBY,166,3,3,LS,LS,1,data/alt-polish/LFS1348.sort.flt.bam,1.3968567928447408,data/alt-polish/LFS1348.sort.flt.bam
LFS1349,28006764,3316974,0.733595,LFS_1349,2016,2016,CBY,169,2,2,MS,MS,1,data/alt-polish/LFS1349.sort.flt.bam,0.6029592031773539,data/downsample/LFS1349.reduced.bam
LFS1350,13451625,1904179,0.4194,LFS_1350,2016,2016,SBY,156,3,3,LS,LS,1,data/alt-polish/LFS1350.sort.flt.bam,1.0503214246139674,data/alt-polish/LFS1350.sort.flt.bam
LFS1351,67480491,7545879,1.63682,LFS_1351,2016,2016,SBY,159,3,3,LS,LS,1,data/alt-polish/LFS1351.sort.flt.bam,0.2650453313656368,data/downsample/LFS1351.reduced.bam
LFS1352,15361966,2049171,0.452097,LFS_1352,2016,2016,SBY,184,2,2,MS,MS,1,data/alt-polish/LFS1352.sort.flt.bam,0.9760044427722235,data/downsample/LFS1352.reduced.bam
LFS1353,16899759,2280974,0.501783,LFS_1353,2016,2016,SBY,180,1,2,HS,MS,1,data/alt-polish/LFS1353.sort.flt.bam,0.876818411783738,data/downsample/LFS1353.reduced.bam
LFS1355,26426670,3382598,0.73893,LFS_1355,2016,2016,SBY,149,2,NA,MS,NA,1,data/alt-polish/LFS1355.sort.flt.bam,0.5912615096443621,data/downsample/LFS1355.reduced.bam
LFS1357,13816473,2051829,0.45234,LFS_1357,2016,2016,CBY,159,2,2,MS,MS,1,data/alt-polish/LFS1357.sort.flt.bam,0.9747400977371896,data/downsample/LFS1357.reduced.bam
LFS1359,24764218,3302259,0.721966,LFS_1359,2016,2016,CBY,119,2,NA,MS,NA,1,data/alt-polish/LFS1359.sort.flt.bam,0.6056460138347719,data/downsample/LFS1359.reduced.bam
LFS1360,12760443,2021052,0.44616,LFS_1360,2016,2016,CBY,148,1,NA,HS,NA,1,data/alt-polish/LFS1360.sort.flt.bam,0.9895836425782216,data/downsample/LFS1360.reduced.bam
LFS1362,7894874,1273446,0.282444,LFS_1362,2016,2016,CAR,121,2,NA,MS,NA,1,data/alt-polish/LFS1362.sort.flt.bam,1.5705416641145364,data/alt-polish/LFS1362.sort.flt.bam
LFS1378,5531364,1128832,0.254862,LFS_1378,2016,2016,SPB,124,1,NA,HS,NA,1,data/alt-polish/LFS1378.sort.flt.bam,1.7717428279850322,data/alt-polish/LFS1378.sort.flt.bam
LFS1379,7834276,1469175,0.331001,LFS_1379,2016,2016,SPB,138,1,NA,HS,NA,1,data/alt-polish/LFS1379.sort.flt.bam,1.3613082171967261,data/alt-polish/LFS1379.sort.flt.bam
LFS1382,16908117,2376732,0.519869,LFS_1382,2016,2016,CBY,140,3,NA,LS,NA,1,data/alt-polish/LFS1382.sort.flt.bam,0.8414915943404642,data/downsample/LFS1382.reduced.bam
LFS1384,14325550,2074682,0.452682,LFS_1384,2016,2016,CBY,168,1,2,HS,MS,1,data/alt-polish/LFS1384.sort.flt.bam,0.9640031580743459,data/downsample/LFS1384.reduced.bam
LFS378,7934579,1258455,0.286772,LFS_0378,2011,2011,SPB,141,1,NA,HS,NA,0,data/alt-polish/LFS378.sort.flt.bam,1.5892503108970921,data/alt-polish/LFS378.sort.flt.bam
LFS433,31796095,3549758,0.783377,LFS_0433,2011,2011,SPB,122,2,NA,MS,NA,0,data/alt-polish/LFS433.sort.flt.bam,0.5634186893867131,data/downsample/LFS433.reduced.bam
LFS561,32608608,4448833,0.96756,LFS_0561,2011,2011,CBY,169,1,2,HS,MS,0,data/alt-polish/LFS561.sort.flt.bam,0.4495560970708498,data/downsample/LFS561.reduced.bam
LFS909,19309535,2498516,0.551795,LFS_0909,2011,2011,ND,145,3,NA,LS,NA,0,data/alt-polish/LFS909.sort.flt.bam,0.8004751620561965,data/downsample/LFS909.reduced.bam
LFS962,36762024,4326180,0.945985,LFS_0962,2011,2011,SBY,170,3,3,LS,LS,0,data/alt-polish/LFS962.sort.flt.bam,0.4623016148195406,data/downsample/LFS962.reduced.bam
