SampleID,Aligned,Dedup,Cov,fishid,year,WY,region,age,sub_grp_sr_100,sub_grp_sr_150,clust_name_100,clust_name_150,selection,Path,ybin
LFS1046,460720,167531,0.0384886,LFS_1046,2009,2009,CBY,156,3,2,LS,MS,0,data/alt-longfin/LFS1046.sort.flt.bam,1
LFS1076,2125392,449184,0.101346,LFS_1076,2009,2009,CAR,131,3,NA,LS,NA,0,data/alt-longfin/LFS1076.sort.flt.bam,1
LFS1099,12343601,1722030,0.377848,LFS_1099,2015,2015,SBY,156,3,3,LS,LS,0,data/alt-longfin/LFS1099.sort.flt.bam,1
LFS1100,38072269,4427740,0.964906,LFS_1100,2015,2015,SBY,145,3,NA,LS,NA,0,data/alt-longfin/LFS1100.sort.flt.bam,1
LFS1102,34479693,4069819,0.887191,LFS_1102,2015,2015,SBY,195,3,3,LS,LS,0,data/alt-longfin/LFS1102.sort.flt.bam,1
LFS1104,22858316,3008130,0.653601,LFS_1104,2015,2015,SBY,158,3,3,LS,LS,0,data/alt-longfin/LFS1104.sort.flt.bam,1
LFS1108,18404278,2234219,0.49162,LFS_1108,2014,2014,SPB,221,3,3,LS,LS,0,data/alt-longfin/LFS1108.sort.flt.bam,1
LFS1131,1213436,239668,0.0544136,LFS_1131,2014,2014,CBY,228,3,3,LS,LS,0,data/alt-longfin/LFS1131.sort.flt.bam,1
LFS1302,1339817,290380,0.0653415,LFS_1302,2014,2014,ND,237,3,3,LS,LS,0,data/alt-longfin/LFS1302.sort.flt.bam,1
LFS1340,6261047,960784,0.213681,LFS_1340,2016,2016,CBY,176,3,3,LS,LS,1,data/alt-longfin/LFS1340.sort.flt.bam,1
LFS1345,3818291,563851,0.127065,LFS_1345,2016,2016,SUS,212,1,2,HS,MS,1,data/alt-longfin/LFS1345.sort.flt.bam,0
LFS1348,9878306,1441137,0.318295,LFS_1348,2016,2016,CBY,166,3,3,LS,LS,1,data/alt-longfin/LFS1348.sort.flt.bam,1
LFS1350,13451751,1910053,0.416155,LFS_1350,2016,2016,SBY,156,3,3,LS,LS,1,data/alt-longfin/LFS1350.sort.flt.bam,1
LFS1351,67479020,7559223,1.62815,LFS_1351,2016,2016,SBY,159,3,3,LS,LS,1,data/alt-longfin/LFS1351.sort.flt.bam,1
LFS1353,16899765,2291724,0.497945,LFS_1353,2016,2016,SBY,180,1,2,HS,MS,1,data/alt-longfin/LFS1353.sort.flt.bam,0
LFS1356,4286061,681291,0.150074,LFS_1356,2016,2016,SBY,168,3,3,LS,LS,1,data/alt-longfin/LFS1356.sort.flt.bam,1
LFS1358,904619,173778,0.0399288,LFS_1358,2016,2016,CBY,167,1,2,HS,MS,1,data/alt-longfin/LFS1358.sort.flt.bam,0
LFS1360,12760464,2029763,0.44295,LFS_1360,2016,2016,CBY,148,1,NA,HS,NA,1,data/alt-longfin/LFS1360.sort.flt.bam,0
LFS1363,1003858,232646,0.0524938,LFS_1363,2016,2016,CAR,127,3,NA,LS,NA,1,data/alt-longfin/LFS1363.sort.flt.bam,1
LFS1378,5531346,1130333,0.252086,LFS_1378,2016,2016,SPB,124,1,NA,HS,NA,1,data/alt-longfin/LFS1378.sort.flt.bam,0
LFS1379,7834321,1470079,0.326787,LFS_1379,2016,2016,SPB,138,1,NA,HS,NA,1,data/alt-longfin/LFS1379.sort.flt.bam,0
LFS1380,1887309,428041,0.096456,LFS_1380,2016,2016,CBY,140,1,NA,HS,NA,1,data/alt-longfin/LFS1380.sort.flt.bam,0
LFS1381,1983072,362748,0.0810739,LFS_1381,2016,2016,CBY,167,1,2,HS,MS,1,data/alt-longfin/LFS1381.sort.flt.bam,0
LFS1382,16908102,2371949,0.51241,LFS_1382,2016,2016,CBY,140,3,NA,LS,NA,1,data/alt-longfin/LFS1382.sort.flt.bam,1
LFS1384,14325413,2069665,0.446783,LFS_1384,2016,2016,CBY,168,1,2,HS,MS,1,data/alt-longfin/LFS1384.sort.flt.bam,0
