Sample,Sex,Pheno,SexChar,Path,Sort,Dedup,Cov
130081,1,0,Female,/home/maccamp/longfin-histories/data/sub/130081.sort.flt.bam,54741880,41320464,11.5898
600771,1,0,Female,/home/maccamp/longfin-histories/data/sub/600771.sort.flt.bam,53886151,38842128,10.9554
802141,1,0,Female,/home/maccamp/longfin-histories/data/sub/802141.sort.flt.bam,85129991,63384068,17.8951
901071,1,0,Female,/home/maccamp/longfin-histories/data/sub/901071.sort.flt.bam,77061497,57588560,16.2592
120091,1,0,Female,/home/maccamp/longfin-histories/data/sub/120091.sort.flt.bam,61128573,45698110,12.9324
300661,1,0,Female,/home/maccamp/longfin-histories/data/sub/300661.sort.flt.bam,74611666,57406060,16.2239
302001,1,0,Female,/home/maccamp/longfin-histories/data/sub/302001.sort.flt.bam,74178318,55121647,15.5725
400281,1,0,Female,/home/maccamp/longfin-histories/data/sub/400281.sort.flt.bam,81951463,63457875,17.9733
401261,1,0,Female,/home/maccamp/longfin-histories/data/sub/401261.sort.flt.bam,82881272,65260764,18.4942
401431,1,0,Female,/home/maccamp/longfin-histories/data/sub/401431.sort.flt.bam,64168387,48492387,13.7262
402591,1,0,Female,/home/maccamp/longfin-histories/data/sub/402591.sort.flt.bam,75468003,58284784,16.4605
402281,1,0,Female,/home/maccamp/longfin-histories/data/sub/402281.sort.flt.bam,84975957,64452618,18.2075
402141,1,0,Female,/home/maccamp/longfin-histories/data/sub/402141.sort.flt.bam,46023174,35886763,10.1794
500131,1,0,Female,/home/maccamp/longfin-histories/data/sub/500131.sort.flt.bam,90465140,69948918,19.8002
501011,1,0,Female,/home/maccamp/longfin-histories/data/sub/501011.sort.flt.bam,58463153,43899014,12.3375
502151,1,0,Female,/home/maccamp/longfin-histories/data/sub/502151.sort.flt.bam,63290202,51115669,14.4609
502961,1,0,Female,/home/maccamp/longfin-histories/data/sub/502961.sort.flt.bam,61273919,48737028,13.8098
600321,1,0,Female,/home/maccamp/longfin-histories/data/sub/600321.sort.flt.bam,72210954,57309562,16.2338
600611,1,0,Female,/home/maccamp/longfin-histories/data/sub/600611.sort.flt.bam,64453940,52115726,14.7489
602771,1,0,Female,/home/maccamp/longfin-histories/data/sub/602771.sort.flt.bam,62590039,49320489,13.9374
700611,1,0,Female,/home/maccamp/longfin-histories/data/sub/700611.sort.flt.bam,60472924,48912447,13.8467
701331,1,0,Female,/home/maccamp/longfin-histories/data/sub/701331.sort.flt.bam,83635001,66492676,18.8322
700901,1,0,Female,/home/maccamp/longfin-histories/data/sub/700901.sort.flt.bam,97029033,77119703,21.8183
700711,1,0,Female,/home/maccamp/longfin-histories/data/sub/700711.sort.flt.bam,57758310,46326730,13.0877
701591,1,0,Female,/home/maccamp/longfin-histories/data/sub/701591.sort.flt.bam,66195809,52962159,14.9769
701931,1,0,Female,/home/maccamp/longfin-histories/data/sub/701931.sort.flt.bam,91939866,74001120,20.9473
701781,1,0,Female,/home/maccamp/longfin-histories/data/sub/701781.sort.flt.bam,53431547,41868265,11.8246
801461,1,0,Female,/home/maccamp/longfin-histories/data/sub/801461.sort.flt.bam,43059020,34068013,9.64218
802341,1,0,Female,/home/maccamp/longfin-histories/data/sub/802341.sort.flt.bam,68057596,54933937,15.5656
802251,1,0,Female,/home/maccamp/longfin-histories/data/sub/802251.sort.flt.bam,68639839,54522315,15.4172
801931,1,0,Female,/home/maccamp/longfin-histories/data/sub/801931.sort.flt.bam,93271869,74520835,21.1093
802601,1,0,Female,/home/maccamp/longfin-histories/data/sub/802601.sort.flt.bam,87595268,69711661,19.7219
900261,1,0,Female,/home/maccamp/longfin-histories/data/sub/900261.sort.flt.bam,72100156,57561913,16.285
901231,1,0,Female,/home/maccamp/longfin-histories/data/sub/901231.sort.flt.bam,75411148,60674752,17.1842
902671,1,0,Female,/home/maccamp/longfin-histories/data/sub/902671.sort.flt.bam,60805757,48503920,13.7567
110381,1,0,Female,/home/maccamp/longfin-histories/data/sub/110381.sort.flt.bam,85779485,68841933,19.5208
110611,1,0,Female,/home/maccamp/longfin-histories/data/sub/110611.sort.flt.bam,60536362,48946125,13.8832
111391,1,0,Female,/home/maccamp/longfin-histories/data/sub/111391.sort.flt.bam,71638630,57772112,16.3811
121922,2,1,Male,/home/maccamp/longfin-histories/data/sub/121922.sort.flt.bam,94505894,68759809,19.4128
401432,2,1,Male,/home/maccamp/longfin-histories/data/sub/401432.sort.flt.bam,85755161,61040284,17.2445
402282,2,1,Male,/home/maccamp/longfin-histories/data/sub/402282.sort.flt.bam,90223958,65326019,18.4646
500742,2,1,Male,/home/maccamp/longfin-histories/data/sub/500742.sort.flt.bam,52797333,38886614,11.0074
602392,2,1,Male,/home/maccamp/longfin-histories/data/sub/602392.sort.flt.bam,50623615,37199312,10.4944
701592,2,1,Male,/home/maccamp/longfin-histories/data/sub/701592.sort.flt.bam,60896943,45982431,12.9779
701502,2,1,Male,/home/maccamp/longfin-histories/data/sub/701502.sort.flt.bam,59893278,45168795,12.7667
801932,2,1,Male,/home/maccamp/longfin-histories/data/sub/801932.sort.flt.bam,64871457,48831458,13.7931
901172,2,1,Male,/home/maccamp/longfin-histories/data/sub/901172.sort.flt.bam,70711890,52343442,14.7872
300662,2,1,Male,/home/maccamp/longfin-histories/data/sub/300662.sort.flt.bam,94136824,73147380,20.7107
302002,2,1,Male,/home/maccamp/longfin-histories/data/sub/302002.sort.flt.bam,71444295,53437592,15.0987
400282,2,1,Male,/home/maccamp/longfin-histories/data/sub/400282.sort.flt.bam,63650671,49174844,13.9086
402592,2,1,Male,/home/maccamp/longfin-histories/data/sub/402592.sort.flt.bam,72265269,55508765,15.7345
401262,2,1,Male,/home/maccamp/longfin-histories/data/sub/401262.sort.flt.bam,61924225,47593353,13.4825
402142,2,1,Male,/home/maccamp/longfin-histories/data/sub/402142.sort.flt.bam,66964573,52265764,14.815
500132,2,1,Male,/home/maccamp/longfin-histories/data/sub/500132.sort.flt.bam,75127289,59241092,16.8014
501012,2,1,Male,/home/maccamp/longfin-histories/data/sub/501012.sort.flt.bam,64093887,49536370,14.0112
501802,2,1,Male,/home/maccamp/longfin-histories/data/sub/501802.sort.flt.bam,50231264,39514505,11.1207
502152,2,1,Male,/home/maccamp/longfin-histories/data/sub/502152.sort.flt.bam,62110215,49356611,13.9854
600322,2,1,Male,/home/maccamp/longfin-histories/data/sub/600322.sort.flt.bam,54335120,42660025,12.0467
600902,2,1,Male,/home/maccamp/longfin-histories/data/sub/600902.sort.flt.bam,59493756,47554516,13.473
600232,2,1,Male,/home/maccamp/longfin-histories/data/sub/600232.sort.flt.bam,77757656,62244821,17.6113
600872,2,1,Male,/home/maccamp/longfin-histories/data/sub/600872.sort.flt.bam,53844533,42485203,12.0018
600772,2,1,Male,/home/maccamp/longfin-histories/data/sub/600772.sort.flt.bam,66138846,53393649,15.1519
601712,2,1,Male,/home/maccamp/longfin-histories/data/sub/601712.sort.flt.bam,57282054,46099904,13.0577
601512,2,1,Male,/home/maccamp/longfin-histories/data/sub/601512.sort.flt.bam,89794597,71429615,20.201
602772,2,1,Male,/home/maccamp/longfin-histories/data/sub/602772.sort.flt.bam,62198875,49541914,14.0112
602992,2,1,Male,/home/maccamp/longfin-histories/data/sub/602992.sort.flt.bam,59097785,47827575,13.5565
700232,2,1,Male,/home/maccamp/longfin-histories/data/sub/700232.sort.flt.bam,83085459,65747731,18.5813
700902,2,1,Male,/home/maccamp/longfin-histories/data/sub/700902.sort.flt.bam,54167265,43429003,12.2808
701932,2,1,Male,/home/maccamp/longfin-histories/data/sub/701932.sort.flt.bam,75773017,60964955,17.2436
701782,2,1,Male,/home/maccamp/longfin-histories/data/sub/701782.sort.flt.bam,94844719,74781687,21.1429
801462,2,1,Male,/home/maccamp/longfin-histories/data/sub/801462.sort.flt.bam,70970196,56974555,16.1092
802252,2,1,Male,/home/maccamp/longfin-histories/data/sub/802252.sort.flt.bam,51288863,41347518,11.7124
900842,2,1,Male,/home/maccamp/longfin-histories/data/sub/900842.sort.flt.bam,50153738,39982551,11.2809
900492,2,1,Male,/home/maccamp/longfin-histories/data/sub/900492.sort.flt.bam,70614667,55684394,15.726
901132,2,1,Male,/home/maccamp/longfin-histories/data/sub/901132.sort.flt.bam,61731219,49354660,13.9674
901522,2,1,Male,/home/maccamp/longfin-histories/data/sub/901522.sort.flt.bam,88502604,70339636,19.9285
901232,2,1,Male,/home/maccamp/longfin-histories/data/sub/901232.sort.flt.bam,80080239,63571343,18.0056
110382,2,1,Male,/home/maccamp/longfin-histories/data/sub/110382.sort.flt.bam,48430672,38876567,11.0128
110612,2,1,Male,/home/maccamp/longfin-histories/data/sub/110612.sort.flt.bam,68730807,54921432,15.55
120092,2,1,Male,/home/maccamp/longfin-histories/data/sub/120092.sort.flt.bam,79834232,64420411,18.2469
