Pop,SampleID,Sex,Aligned,Dedup,Cov,Path,Category,clust_name_100
Hatchery,SRR35397523,Female,98395421,8766465,1.90263,data/parents/SRR35397523.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397524,Male,27352307,4006064,0.778761,data/parents/SRR35397524.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397548,Female,8742925,1362175,0.227219,data/parents/SRR35397548.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397549,Male,80068887,7629287,1.46933,data/parents/SRR35397549.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397572,Female,94169287,8202260,1.71475,data/parents/SRR35397572.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397573,Male,148731170,11652782,2.45659,data/parents/SRR35397573.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397582,Female,25038962,904732,0.173103,data/parents/SRR35397582.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397583,Male,93929370,8534640,1.86161,data/parents/SRR35397583.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397610,Female,6820488,836251,0.187399,data/parents/SRR35397610.sort.flt.bam,Hatchery,UNK
Hatchery,SRR35397627,Male,266102276,18592110,3.93543,data/parents/SRR35397627.sort.flt.bam,Hatchery,UNK
