Pop,ID,Reads,Dedup,Cov,Path
ALVS,ALVS_098,3739867,1111828,0.170769,data/polish-saglam/ALVS_098.sort.flt.bam
CHPI,CHPI_707,3119113,1140327,0.175761,data/polish-saglam/CHPI_707.sort.flt.bam
CHPI,CHPI_916,3163127,1155345,0.177905,data/polish-saglam/CHPI_916.sort.flt.bam
PETA,PETA_065,3379782,1205674,0.186715,data/polish-saglam/PETA_065.sort.flt.bam
PETA,PETA_069,3072500,1087616,0.167998,data/polish-saglam/PETA_069.sort.flt.bam
SFBY,SFBY_079,3261955,1138295,0.174293,data/polish-saglam/SFBY_079.sort.flt.bam
SFBY,SFBY_086,2990903,1060730,0.163958,data/polish-saglam/SFBY_086.sort.flt.bam
SFBY,SFBY_089,3303828,1005680,0.155883,data/polish-saglam/SFBY_089.sort.flt.bam
SUIB,SUIB_014,3450033,1237964,0.190498,data/polish-saglam/SUIB_014.sort.flt.bam
SUIB,SUIB_015,6405774,2165275,0.334329,data/polish-saglam/SUIB_015.sort.flt.bam
SUIB,SUIB_016,6824977,2282461,0.352272,data/polish-saglam/SUIB_016.sort.flt.bam
SUIB,SUIB_017,3929753,1390613,0.215106,data/polish-saglam/SUIB_017.sort.flt.bam
SUIB,SUIB_019,4248852,1521152,0.233613,data/polish-saglam/SUIB_019.sort.flt.bam
SUIB,SUIB_020,4422160,1565209,0.242231,data/polish-saglam/SUIB_020.sort.flt.bam
SUIB,SUIB_021,5460721,1919612,0.295513,data/polish-saglam/SUIB_021.sort.flt.bam
SUIB,SUIB_023,4390054,1530899,0.235781,data/polish-saglam/SUIB_023.sort.flt.bam
SUIB,SUIB_024,5838006,1998260,0.308067,data/polish-saglam/SUIB_024.sort.flt.bam
SUIB,SUIB_028,6210139,1794006,0.276257,data/polish-saglam/SUIB_028.sort.flt.bam
SUIB,SUIB_029,5292602,1597013,0.24644,data/polish-saglam/SUIB_029.sort.flt.bam
SUIB,SUIB_030,8080305,2327342,0.356638,data/polish-saglam/SUIB_030.sort.flt.bam
SUIB,SUIB_033,4738754,1420823,0.21742,data/polish-saglam/SUIB_033.sort.flt.bam
SUIB,SUIB_040,3504467,1081106,0.166311,data/polish-saglam/SUIB_040.sort.flt.bam
SUIB,SUIB_042,3388077,1029335,0.158173,data/polish-saglam/SUIB_042.sort.flt.bam
SUIB,SUIB_043,4672980,1404183,0.216625,data/polish-saglam/SUIB_043.sort.flt.bam
SUIB,SUIB_044,5453653,1690555,0.260224,data/polish-saglam/SUIB_044.sort.flt.bam
SUIB,SUIB_046,4404534,1352556,0.208273,data/polish-saglam/SUIB_046.sort.flt.bam
