SampleID,Aligned,Dedup,Cov,Path,Pop
YBAK_001,2813096,967287,0.142504,data/saglam/YBAK_001.sort.flt.bam,YBAK
YBAK_002,7192697,2380517,0.361026,data/saglam/YBAK_002.sort.flt.bam,YBAK
YBAK_003,3853406,1279651,0.187341,data/saglam/YBAK_003.sort.flt.bam,YBAK
YBAK_005,7348403,2334332,0.347954,data/saglam/YBAK_005.sort.flt.bam,YBAK
YBAK_006,5574635,1844923,0.278757,data/saglam/YBAK_006.sort.flt.bam,YBAK
YBAK_007,6220784,2078823,0.313401,data/saglam/YBAK_007.sort.flt.bam,YBAK
YBAK_008,6543063,2153430,0.325836,data/saglam/YBAK_008.sort.flt.bam,YBAK
YBAK_009,5897228,2043605,0.309291,data/saglam/YBAK_009.sort.flt.bam,YBAK
YBAK_010,6028847,1924664,0.286025,data/saglam/YBAK_010.sort.flt.bam,YBAK
YBAK_011,4047382,1365038,0.205719,data/saglam/YBAK_011.sort.flt.bam,YBAK
YBAK_012,3715145,1080200,0.162704,data/saglam/YBAK_012.sort.flt.bam,YBAK
YBAK_014,4339948,1254821,0.182251,data/saglam/YBAK_014.sort.flt.bam,YBAK
YBAK_015,7405711,2081199,0.312451,data/saglam/YBAK_015.sort.flt.bam,YBAK
YBAK_016,8962469,2471092,0.366636,data/saglam/YBAK_016.sort.flt.bam,YBAK
YBAK_017,7907995,2189664,0.329303,data/saglam/YBAK_017.sort.flt.bam,YBAK
YBAK_018,7959592,2231628,0.333361,data/saglam/YBAK_018.sort.flt.bam,YBAK
YBAK_020,7770885,2159838,0.321847,data/saglam/YBAK_020.sort.flt.bam,YBAK
YBAK_021,7133828,2052386,0.305386,data/saglam/YBAK_021.sort.flt.bam,YBAK
YBAK_022,4191794,1099040,0.158786,data/saglam/YBAK_022.sort.flt.bam,YBAK
YBAK_023,3750427,1048179,0.155822,data/saglam/YBAK_023.sort.flt.bam,YBAK
